BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
246,HASHIMOTO,Daiki,JPN,5.3,8.6,,0.1,14
160,ZHANG,Boheng,CHN,5.4,8.2,,,13.6
319,SEIFERT,Noe,SUI,5,8.766,,0.1,13.866
159,SHI,Cong,CHN,5.2,7.866,,,13.066
250,OKA,Shinnosuke,JPN,4.4,7.466,,,11.866
164,BARAJAS,Angel,COL,5.5,7.3,,,12.8
103,MARINOV,Daniel,AIN,5.5,8.233,,,13.733
218,MESZAROS,Krisztofer,HUN,5.4,8.066,-0.1,,13.366
139,SOUZA,Caio,BRA,5,7.466,-0.1,,12.366
317,LANGENEGGER,Florian,SUI,5,8.066,-0.1,,12.966
123,MOORE,Jesse,AUS,5.4,8.066,,,13.466
201,MANSARD,Anthony,FRA,5,7.433,,,12.433
261,RYU,Sunghyun,KOR,5.3,6.966,-0.2,,12.066
192,KIRMES,Robert,FIN,4.5,8.5,,0.1,13.1
189,PLATA,Joel,ESP,5.4,6.866,-0.1,,12.166
146,DOLCI,Felix,CAN,5.5,8.1,,,13.6
138,SOARES,Diogo,BRA,5.1,8.233,-0.1,,13.233
286,SPONEVIK,Sebastian,NOR,5.2,8.033,,,13.233
209,EDER,Timo,GER,5.1,8,-0.1,,13
191,KARSIKAS,Akseli,FIN,5.1,7.666,,,12.766
186,DIALLO,Thierno,ESP,5.2,7.233,-0.1,,12.333
339,HRYKO,Vladyslav,UKR,4.5,7.133,-0.3,,11.333
183,MOHAMED,Omar,EGY,4.8,5.966,-0.6,,10.166
232,OLAFSSON,Dagur Kari,ISL,4.3,7.133,,,11.433
