BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
246,HASHIMOTO,Daiki,JPN,5.9,8.7,,0.1,14.7
160,ZHANG,Boheng,CHN,6,8.3,,,14.3
319,SEIFERT,Noe,SUI,5.7,8.4,,,14.1
159,SHI,Cong,CHN,5.8,8.633,,,14.433
250,OKA,Shinnosuke,JPN,5.8,8.6,,,14.4
164,BARAJAS,Angel,COL,6.4,8.2,,,14.6
103,MARINOV,Daniel,AIN,4.4,7.833,,,12.233
218,MESZAROS,Krisztofer,HUN,5.4,8.266,,,13.666
139,SOUZA,Caio,BRA,5.9,7.866,,0.1,13.866
317,LANGENEGGER,Florian,SUI,4.9,8.4,,,13.3
123,MOORE,Jesse,AUS,5.3,8.5,,0.1,13.9
201,MANSARD,Anthony,FRA,5.8,8.166,,,13.966
261,RYU,Sunghyun,KOR,4.7,8.133,,0.1,12.933
192,KIRMES,Robert,FIN,5.3,8,,,13.3
189,PLATA,Joel,ESP,5.3,7.8,,,13.1
146,DOLCI,Felix,CAN,5.8,8.133,,,13.933
138,SOARES,Diogo,BRA,4.9,6.433,,0.1,11.433
286,SPONEVIK,Sebastian,NOR,4.4,7.966,,,12.366
209,EDER,Timo,GER,5.4,8.133,,,13.533
191,KARSIKAS,Akseli,FIN,4.7,7.4,,0.1,12.2
186,DIALLO,Thierno,ESP,4.9,7.633,,,12.533
339,HRYKO,Vladyslav,UKR,5.1,8.066,,,13.166
183,MOHAMED,Omar,EGY,4.6,8.233,,,12.833
232,OLAFSSON,Dagur Kari,ISL,4.7,6.633,,,11.333
