BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
246,HASHIMOTO,Daiki,JPN,5.6,8.733,0,0.1,14.433
160,ZHANG,Boheng,CHN,5.2,8.733,0,,13.933
319,SEIFERT,Noe,SUI,5.7,8.366,0,,14.066
159,SHI,Cong,CHN,5.8,8.366,-0.3,,13.866
250,OKA,Shinnosuke,JPN,5.6,8.966,0,0.1,14.666
164,BARAJAS,Angel,COL,5.9,8.333,0,,14.233
103,MARINOV,Daniel,AIN,5.9,8.8,0,,14.7
218,MESZAROS,Krisztofer,HUN,5.5,8.1,0,,13.6
139,SOUZA,Caio,BRA,5.3,8.533,0,,13.833
317,LANGENEGGER,Florian,SUI,5.2,8.533,0,,13.733
123,MOORE,Jesse,AUS,5.1,8.466,0,,13.566
201,MANSARD,Anthony,FRA,5.1,8.366,0,,13.466
261,RYU,Sunghyun,KOR,5.4,8.433,0,0.1,13.933
192,KIRMES,Robert,FIN,4.9,8.366,0,0.1,13.366
189,PLATA,Joel,ESP,5.2,8.5,0,0.1,13.8
146,DOLCI,Felix,CAN,4.9,7.233,0,,12.133
138,SOARES,Diogo,BRA,5,8.066,0,0.1,13.166
286,SPONEVIK,Sebastian,NOR,4.7,8.133,0,0.1,12.933
209,EDER,Timo,GER,4.9,8.333,0,0.1,13.333
191,KARSIKAS,Akseli,FIN,4.5,8.3,0,,12.8
186,DIALLO,Thierno,ESP,5.3,8.4,0,,13.7
339,HRYKO,Vladyslav,UKR,4.8,8.366,0,,13.166
183,MOHAMED,Omar,EGY,5.2,8.4,0,,13.6
232,OLAFSSON,Dagur Kari,ISL,5.1,8.533,0,,13.633
