BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
246,HASHIMOTO,Daiki,JPN,5.7,8.266,,,13.966
160,ZHANG,Boheng,CHN,5.2,8.5,,,13.7
319,SEIFERT,Noe,SUI,5.6,8.4,,,14
159,SHI,Cong,CHN,5.1,8.4,,,13.5
250,OKA,Shinnosuke,JPN,5,8.333,,,13.333
164,BARAJAS,Angel,COL,5.6,7.7,,,13.3
103,MARINOV,Daniel,AIN,5,8.6,,,13.6
218,MESZAROS,Krisztofer,HUN,5.5,8.166,,,13.666
139,SOUZA,Caio,BRA,4.6,7.866,,,12.466
317,LANGENEGGER,Florian,SUI,5.4,8,,,13.4
123,MOORE,Jesse,AUS,5.6,8.033,,,13.633
201,MANSARD,Anthony,FRA,4.4,8.1,,,12.5
261,RYU,Sunghyun,KOR,5,7.9,,,12.9
192,KIRMES,Robert,FIN,5,7.533,,,12.533
189,PLATA,Joel,ESP,5,7.8,,,12.8
146,DOLCI,Felix,CAN,4.2,6.766,,,10.966
138,SOARES,Diogo,BRA,5.2,8.266,,,13.466
286,SPONEVIK,Sebastian,NOR,4.6,6.866,,,11.466
209,EDER,Timo,GER,5.2,6.433,,,11.633
191,KARSIKAS,Akseli,FIN,4.4,7.966,,,12.366
186,DIALLO,Thierno,ESP,4.4,8.066,,,12.466
339,HRYKO,Vladyslav,UKR,5.7,5.9,,,11.6
183,MOHAMED,Omar,EGY,4.3,7.366,,,11.666
232,OLAFSSON,Dagur Kari,ISL,5,7.133,,,12.133
