BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
246,HASHIMOTO,Daiki,JPN,5.2,9.266,0,,14.466
160,ZHANG,Boheng,CHN,5.2,9,0,,14.2
319,SEIFERT,Noe,SUI,4.4,9.233,0,0.1,13.733
159,SHI,Cong,CHN,4.8,9.166,0,,13.966
250,OKA,Shinnosuke,JPN,4.8,8.666,0,,13.466
164,BARAJAS,Angel,COL,4.8,8.866,-0.1,,13.566
103,MARINOV,Daniel,AIN,5.2,9.1,0,,14.3
218,MESZAROS,Krisztofer,HUN,4.4,9.1,0,,13.5
139,SOUZA,Caio,BRA,5.2,8.933,0,,14.133
317,LANGENEGGER,Florian,SUI,4.8,9,0,,13.8
123,MOORE,Jesse,AUS,4.4,9.166,0,,13.566
201,MANSARD,Anthony,FRA,4.8,9.2,0,,14
261,RYU,Sunghyun,KOR,5.2,8.566,-0.3,,13.466
192,KIRMES,Robert,FIN,4.4,8.6,-0.3,,12.7
189,PLATA,Joel,ESP,4.8,8.966,0,,13.766
146,DOLCI,Felix,CAN,4.8,9.1,-0.1,,13.8
138,SOARES,Diogo,BRA,4.4,9.1,-0.1,,13.4
286,SPONEVIK,Sebastian,NOR,5.2,9.033,0,,14.233
209,EDER,Timo,GER,4.8,9,0,0.1,13.9
191,KARSIKAS,Akseli,FIN,4.8,8.733,-0.1,,13.433
186,DIALLO,Thierno,ESP,4.4,8.8,-0.1,,13.1
339,HRYKO,Vladyslav,UKR,4.4,8.666,0,,13.066
183,MOHAMED,Omar,EGY,4.4,7.766,-0.1,,12.066
232,OLAFSSON,Dagur Kari,ISL,4.4,8.9,0,,13.3
