Rank,BIB,Last Name,First Name,Country,VT1_D,VT1_E,VT1_ND,VT1_Bonus,VT1_Score,VT2_D,VT2_E,VT2_ND,VT2_Bonus,VT2_Score,VT_Score
1,299,YULO Carlos Edriel PHI 1 5.600 9.300,,14.9,5.2,9.4,,,14.6,5.2,9.233,,,14.433,14.750Q
2,5.2,,,9.5,5.2,9.033,,,14.233,5.2,9.3,-0.1,,14.4,14.7
4,103,MARINOV Daniel AIN 1 5.200 9.200,,14.4,5.2,8.933,,,14.133,5.2,9.166,-0.1,,14.266,14.266Q
2,5.2,,,9.033,5.2,9.533,-0.1,,14.833,5.2,8.333,,,13.533,14.233
7,249,MINAMI Kazuki JPN 1 4.800 9.400 -0.1 0.1,,14.2,4.8,9.1,,,13.9,5.2,8.666,-0.3,,13.566,14.050Q
2,5.2,9.2,,0.1,5.2,9.066,-0.1,,14.166,4.8,8.9,,,13.7,14.5
10,286,SPONEVIK Sebastian NOR 1 5.200 9.000,,14.2,4.8,8.933,-0.1,,13.633,5.6,8.2,-0.3,,13.5,13.916R2
2,5.2,9.1,,-0.1,5.2,8.833,-0.1,,13.849,5.2,8.666,-0.1,,13.766,14.2
13,143,PENEV Kevin BUL 1 5.000 8.966,,13.966,4.8,8.9,-0.1,,13.6,4.8,9.2,,,13.733,13.783
2,4.8,8.966,,-0.3,4.8,8.9,,,13.716,4.8,8.933,,,13.733,13.466
16,322,SURINTORNTA Tikumporn THA 1 4.800 9.033,,13.833,4.8,8.866,-0.1,,13.566,5.2,8.566,-0.3,,13.666,13.699
2,4.8,,,9.066,4.8,8.966,-0.1,,13.616,4.4,9.166,,,13.566,13.866
19,195,REIMAN Joona FIN 1 4.800 8.900 -0.1,,13.6,4.8,8.833,,,13.633,5.2,8.933,,,13.583,13.616
2,5.2,,,7.833,4.8,8.933,,,13.433,4.8,8.633,-0.3,,13.133,13.033
26,220,ZAVORY Szilard HUN 1 4.800 8.700 -0.1,,13.4,4.4,9.033,,,13.433,4.8,8.633,-0.1,,13.349,13.416
2,4.4,,,8.966,5.2,9.033,,,13.333,4.8,7.933,-0.3,,12.433,13.366
29,300,ALMEIDA Filipe POR 1 4.800 8.833 -0.3,,13.333,4.4,9.033,-0.1,,13.333,4.8,8.8,-0.1,,13.3,13.333
2,5.2,,,7.9,5.2,8.766,-0.1,,13.299,5.2,7.833,-0.3,,12.733,13.1
32,283,SCHMIDT Casimir NED 1 5.200 8.566 -0.1,,13.666,5.2,7.7,,,12.9,4.8,9.1,,,13.25,13.283
2,4.8,,,7.8,4.8,8,,,13.25,4.8,9,-0.1,,13.7,12.6
35,237,GRASSO Thomas ITA 1 5.200 7.833,,13.033,4.4,8.966,,,13.366,4.8,8.566,,,13.199,13.199
2,4.8,8.533,,-0.3,4.8,8.4,-0.1,,13.083,4.8,8.266,,,13.066,13.033
38,334,KARTIN Emirhan TUR 1 4.800 8.833,,13.633,4.8,7.733,-0.1,,12.433,4.8,8.766,-0.1,,13.033,13.033
2,4.8,7.9,,-0.1,4.4,8.8,-0.1,,13.033,4.4,8.566,,,12.966,12.6
41,267,AIMY Muhammad Sharul MAS 1 4.800 8.800,,13.6,4.8,7.833,-0.3,,12.333,4.4,8.766,,,12.883,12.966
2,4.8,,,7.8,4.8,7.933,-0.3,,12.833,4.4,8.833,,,13.233,12.6
44,350,MIRVALIEV Abdulaziz UZB 1 4.800 8.066,,12.866,4.8,7.9,,,12.7,3.6,8.666,-0.3,,12.766,12.783
2,4.8,8.866,,-0.1,5.2,8,-0.1,,12.766,4.8,7.933,-0.3,,12.433,13.566
47,289,FU-ALLEN William NZL 1 4.400 8.966 -0.1,,13.266,3.2,9,,,12.2,4.8,8.033,-0.1,,12.683,12.733
2,4.4,8.333,,-0.1,4.8,7.833,-0.1,,12.666,4.4,8.7,-0.3,,12.8,12.633
50,175,KYRIAKOU Neofytos CYP 1 4.800 8.000,,12.8,4.4,8.433,-0.3,,12.533,4.4,8.466,,,12.649,12.666
2,4.8,7.733,,-0.1,4,8.8,-0.1,,12.55,4,8.7,-0.3,,12.4,12.433
53,342,SUPRUN Bohdan UKR 1 4.800 7.866 -0.1,,12.566,3.6,8.8,-0.1,,12.3,3.6,9.166,,,12.383,12.433
2,3.6,8.5,,-0.1,4,7.733,-0.3,,11.249,2.4,8.666,,,11.066,12
56,278,KOOPER Immanuel NAM 1 2.400 8.300 -0.1,,10.6,2.4,8.6,,,11,0,0,,,0,10.8
138,SOARES,Diogo BRA 1 3.600 9.000 -0.1,,12.5,,,,,,5.2,8.1,,,13.3,DNF
173,ESCOBAR,Diorges CUB 1 4.400 7.733 -0.3,,11.833,,,,,,,,,,,DNF
