BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
204,JARMAN,Jake,GBR,6.3,8.4,,,14.7
299,YULO,Carlos Edriel,PHI,5.9,8.666,,,14.566
347,NELSON,Kameron,USA,6.3,8.1,-0.1,,14.3
254,KARIMI,Milad,KAZ,5.7,8.433,,,14.133
249,MINAMI,Kazuki,JPN,5.7,8.4,,,14.1
218,MESZAROS,Krisztofer,HUN,5.5,8.466,,,13.966
322,SURINTORNTA,Tikumporn,THA,5.5,8.366,,,13.866
206,WHITEHOUSE,Luke,GBR,6.1,7.866,-0.1,,13.866
317,LANGENEGGER,Florian,SUI,5,8.6,,0.1,13.7
261,RYU,Sunghyun,KOR,5.5,8.2,,,13.7
143,PENEV,Kevin,BUL,5.4,8.266,,,13.666
319,SEIFERT,Noe,SUI,5,8.633,,,13.633
316,GIUBELLINI,Luca,SUI,5.3,8.333,,,13.633
191,KARSIKAS,Akseli,FIN,5.3,8.266,,,13.566
160,ZHANG,Boheng,CHN,5.4,8.166,,,13.566
235,BRUGNAMI,Tommaso,ITA,5.5,8.066,,,13.566
138,SOARES,Diogo,BRA,5.1,8.333,,0.1,13.533
105,SHARAMKOU,Yahor,AIN,5.8,7.766,-0.1,,13.466
209,EDER,Timo,GER,5.1,8.233,,0.1,13.433
342,SUPRUN,Bohdan,UKR,5.1,8.3,,,13.4
103,MARINOV,Daniel,AIN,5.5,7.9,,,13.4
284,GADDERUD,Theodor,NOR,5.2,8.166,,,13.366
304,PEREZ MARTINEZ,Pablo Jose,PUR,5.2,8.166,,,13.366
289,FU-ALLEN,William,NZL,4.9,8.433,,,13.333
159,SHI,Cong,CHN,5.2,8.133,,,13.333
164,BARAJAS,Angel,COL,5.2,7.966,,0.1,13.266
220,ZAVORY,Szilard,HUN,5,8.133,,0.1,13.233
203,HEPWORTH,Harry,GBR,5.9,7.333,-0.1,0.1,13.233
195,REIMAN,Joona,FIN,4.8,8.4,,,13.2
275,DAMDINDORJ,Enkhtuvshin,MGL,5.1,8.033,,,13.133
139,SOUZA,Caio,BRA,5,8.1,,,13.1
142,PENEV,Eddie,BUL,5.3,7.8,,,13.1
122,MASON STEPHENS,Clay,AUS,5.3,7.766,,,13.066
221,ABIYURAFI,,INA,5.3,7.766,,,13.066
146,DOLCI,Felix,CAN,5.4,7.533,,0.1,13.033
256,PATANIN,Dmitriy,KAZ,5.3,8,-0.3,,13
192,KIRMES,Robert,FIN,4.5,8.466,,,12.966
183,MOHAMED,Omar,EGY,4.8,8.266,-0.1,,12.966
177,BAGO,Daniel,CZE,4.9,8.066,,,12.966
128,AHMADZADA,Rasul,AZE,5,7.966,,,12.966
178,DANEK,Jonas,CZE,5.1,7.8,,,12.9
240,BELL,Clayton,JAM,5,7.966,-0.1,,12.866
101,IAKUBOV,Mukhammadzhon,AIN,5.3,7.466,,0.1,12.866
336,KOSAK,Mehmet Ayberk,TUR,5,8.033,-0.2,,12.833
259,LEE,Junho,KOR,5.2,7.733,-0.1,,12.833
285,SKOGVANG,Peder,NOR,5.2,7.7,-0.1,,12.8
286,SPONEVIK,Sebastian,NOR,5.4,7.4,,,12.8
252,AZIZOV,Ilyas,KAZ,5.3,7.866,-0.4,,12.766
232,OLAFSSON,Dagur Kari,ISL,4.6,8.133,,,12.733
125,MIGGITSCH,Martin,AUT,5,7.733,,,12.733
219,TOMCSANYI,Benedek,HUN,5,7.766,-0.1,,12.666
241,DOAN,Dorian,JAM,4.9,7.766,,,12.666
300,ALMEIDA,Filipe,POR,5,8.133,-0.5,,12.633
201,MANSARD,Anthony,FRA,5,7.6,,,12.6
186,DIALLO,Thierno,ESP,5.1,7.5,,,12.6
190,ZAPATA,Rayderley,ESP,5.6,7.1,-0.1,,12.6
121,HARDY,James,AUS,5,7.666,-0.1,,12.566
133,MARTINEZ,Victor,BEL,5.2,7.3,,,12.5
243,WAHRMANN-BAKER,Elel,JAM,4.3,8.033,,0.1,12.433
329,ALI,Jameel,TTO,4.6,7.833,,,12.433
265,BRANDENBURGER,Quentin,LUX,4.6,7.9,-0.1,,12.4
269,ZULFA,Luqman Al Hafiz,MAS,4.7,7.7,,,12.4
130,TIKHONOV,Ivan,AZE,5.1,7.6,-0.3,,12.4
106,TSIASELSKI,Aleh,AIN,4.3,8.033,,,12.333
276,ERKHEMBAYAR,Usukhbayar,MGL,5.2,7.733,-0.6,,12.333
334,KARTIN,Emirhan,TUR,5,7.433,-0.1,,12.333
127,VETTER,Gino,AUT,5.2,7.133,,,12.333
290,GREENE,Keegan,NZL,4.5,7.9,-0.1,,12.3
237,GRASSO,Thomas,ITA,4.9,7.4,,,12.3
246,HASHIMOTO,Daiki,JPN,5.1,7.2,,,12.3
288,CURTIS,Logan,NZL,4.7,7.766,-0.2,,12.266
270,DIAZ,Jose,MEX,4.4,7.8,,,12.2
339,HRYKO,Vladyslav,UKR,4.5,7.7,,,12.2
153,FLORES,Luciano,CHI,4.6,7.566,,,12.166
136,RODRIGUES,Tomas,BRA,5.2,7.1,-0.2,,12.1
123,MOORE,Jesse,AUS,5,7.1,,,12.1
233,REINHARDSSON,Valgard,ISL,4.3,8.133,-0.4,,12.033
147,EMARD,William,CAN,5.3,7.133,-0.4,,12.033
296,BESANA,Juancho Miguel,PHI,5,7,,,12
297,CRUZ,John Ivan,PHI,5.2,6.8,,,12
335,KILICER,Mert Efe,TUR,4.6,7.333,,,11.933
352,TREJO BASALO,Adickxon Gabriel,VEN,5,6.933,,,11.933
228,MOHANTY,Tapan,IND,5.1,7.1,-0.3,,11.9
307,JAMES,Luke,RSA,5.4,6.6,-0.1,,11.9
126,SCHMOELZER,Paul,AUT,4.9,7.133,-0.2,,11.833
168,JOVICIC,Marko,CRO,4.5,7.366,-0.1,,11.766
314,AMBUL DENIYAGE DON,Nadila Nethviru,SRI,4.8,7.266,-0.3,,11.766
155,VARAS,Ignacio,CHI,5.2,6.766,-0.2,,11.766
112,COGAT,Adam,ALG,4.9,6.833,,,11.733
212,GRAIKOS,Alkinoos Nikolaos,GRE,5.2,6.633,-0.1,,11.733
111,BELLAOUI,Bilal,ALG,4.3,7.666,-0.3,,11.666
208,DUNKEL,Nils,GER,4.8,7.166,-0.3,,11.666
338,DYSHUK,Ihor,UKR,4.6,7.166,-0.1,,11.666
163,SODEA,Ruben,CMR,4.4,7.2,,,11.6
311,HRIBAR,Anze,SLO,5.2,6.5,-0.1,,11.6
189,PLATA,Joel,ESP,4.8,7.066,-0.3,,11.566
158,LAN,Xingyu,CHN,2.9,8.933,-0.3,,11.533
165,LARRAHONDO,Juan,COL,4.4,7.066,,,11.466
245,NAGHOUJ,Saleem,JOR,4.5,7.133,-0.2,,11.433
113,HAMADOUCHE,Houssem Eddine,ALG,5,6.466,-0.1,,11.366
184,WAKID,Abdelrahman,EGY,4.5,6.9,-0.1,,11.3
274,ROJAS,Mario,MEX,4.4,6.9,-0.1,,11.2
140,DIMITROV,Dimitar,BUL,5,6.4,-0.3,,11.1
166,MARTINEZ MORENO,Andres,COL,4.1,6.666,,,10.766
225,YUDHA,Tri Wira,INA,4.5,6.266,,,10.766
295,MORETO,Jesus,PER,3.9,6.766,,,10.666
271,GOMEZ,Rodrigo,MEX,5,6.266,-0.6,,10.666
302,MARQUES,Marcelo,POR,5.1,6.133,-0.6,,10.633
293,BROSZIO,Pablo,PAN,3.9,6.5,,,10.4
231,DAVIDSSON,Agust Ingi,ISL,4.7,5.766,-0.1,,10.366
250,OKA,Shinnosuke,JPN,5.2,5.4,-0.3,,10.3
283,SCHMIDT,Casimir,NED,4.6,5.666,,,10.266
230,SINGH,Yogeshwar,IND,4.7,5.566,,,10.266
294,ALARCON,Daniel,PER,4.2,6.466,-0.5,,10.166
277,CROVETTO,Kevin,MON,2.5,7.533,-0.3,,9.733
214,TANTALIDIS,Antonios,GRE,5.2,5.166,-0.7,,9.666
226,DAS,Tapeswaranath,IND,4.7,4.633,,,9.333
321,TARRAB,Abdullah,SYR,4.5,5.2,-0.8,,8.9
330,GANNES,de Anthony,TTO,3.7,5.2,,,8.9
351,ANTON,Yefferson,VEN,4.5,4.633,-0.3,,8.833
173,ESCOBAR,Diorges,CUB,4.7,4.233,-0.5,,8.433
278,KOOPER,Immanuel,NAM,3.7,4.466,-0.1,,8.066
315,NAWARATHNA,Thenuka Bandara,SRI,3.5,4.333,-0.1,,7.733
162,NGORBO,Ledoux,CMR,3.9,2.2,-0.7,,5.4
