BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
251,TSUNOGAI,Tomoharu,JPN,6.2,8.6,,,14.8
202,FRASER,Joe,GBR,6.3,8.233,,,14.533
246,HASHIMOTO,Daiki,JPN,6.2,8.1,,0.1,14.4
238,MACCHINI,Carlo,ITA,6,8.233,,,14.233
254,KARIMI,Milad,KAZ,5.8,8.4,,,14.2
346,MALONE,Brody,USA,5.8,8.366,,,14.166
103,MARINOV,Daniel,AIN,5.1,8.933,,0.1,14.133
159,SHI,Cong,CHN,5.8,8.333,,,14.133
164,BARAJAS,Angel,COL,6.4,7.7,,,14.1
319,SEIFERT,Noe,SUI,5.7,8.3,,,14
138,SOARES,Diogo,BRA,5.5,8.366,,,13.866
145,COURNOYER,Rene,CAN,5,8.833,,,13.833
280,DEURLOO,Bart,NED,5.4,8.433,,,13.833
170,SRBIC,Tin,CRO,5.5,8.333,,,13.833
146,DOLCI,Felix,CAN,5.8,8.033,,,13.833
174,GEORGIOU,Marios,CYP,5.5,8.3,,,13.8
139,SOUZA,Caio,BRA,5.9,7.833,,,13.733
335,KILICER,Mert Efe,TUR,5.3,8.366,,,13.666
234,ABBADINI,Yumin,ITA,5.6,8.033,,,13.633
198,CARVALHO,Kevin,FRA,5.7,7.8,,,13.5
291,KOUDINOV,Mikhail,NZL,5.1,8.266,,0.1,13.466
273,NUNEZ,Isaac,MEX,5.4,8.066,,0,13.466
137,MARIANO,Arthur,BRA,5.8,7.6,,0,13.4
339,HRYKO,Vladyslav,UKR,5.1,8.266,,0,13.366
317,LANGENEGGER,Florian,SUI,4.9,8.4,,0,13.3
250,OKA,Shinnosuke,JPN,5.8,7.466,,0,13.266
185,BAIGORRI,Unai,ESP,5,8.233,,0,13.233
183,MOHAMED,Omar,EGY,4.6,8.5,,0.1,13.2
192,KIRMES,Robert,FIN,5.3,7.9,,0,13.2
189,PLATA,Joel,ESP,4.9,8.166,,0.1,13.166
133,MARTINEZ,Victor,BEL,4.6,8.466,,0,13.066
326,TANG,Chia-Hung,TPE,6.1,6.966,,0,13.066
209,EDER,Timo,GER,5.4,7.633,,0,13.033
201,MANSARD,Anthony,FRA,5.2,7.7,,0.1,13
101,IAKUBOV,Mukhammadzhon,AIN,5.1,7.866,,0,12.966
126,SCHMOELZER,Paul,AUT,4.2,8.6,,0.1,12.9
144,TRIFONOV,Daniel,BUL,5.1,7.7,,0,12.8
318,PFYL,Marco,SUI,5.6,7.2,,0,12.8
167,ZABALA,Yan,COL,5.3,7.466,,0,12.766
154,LETELIER,Luciano,CHI,5.8,6.866,,0.1,12.766
252,AZIZOV,Ilyas,KAZ,4.4,8.333,,0,12.733
261,RYU,Sunghyun,KOR,4.4,8.333,,0,12.733
186,DIALLO,Thierno,ESP,4.9,7.8,,0,12.7
212,GRAIKOS,Alkinoos Nikolaos,GRE,4.5,8.033,,0.1,12.633
210,EICHHORN,Gabriel,GER,6,6.633,,0,12.633
110,ALIOUAT,Ahmed-Riadh,ALG,4.4,8.2,,0,12.6
340,PRUDKO,Dmytro,UKR,4.4,8.166,,0,12.566
348,WHITTENBURG,Donnell,USA,5.6,6.933,,0,12.533
150,ZAKUTNEY,Samuel,CAN,5.5,6.933,,0.1,12.533
274,ROJAS,Mario,MEX,4.1,8.4,,0,12.5
219,TOMCSANYI,Benedek,HUN,4.2,8.3,,0,12.5
221,ABIYURAFI,,INA,5.2,7.3,,0,12.5
194,LEHTINEN,Leo,FIN,5.4,7.1,,0,12.5
341,SHVED,Sviatoslav,UKR,4.5,7.966,,0,12.466
283,SCHMIDT,Casimir,NED,4.9,7.566,,0,12.466
112,COGAT,Adam,ALG,4.5,7.933,,0,12.433
180,BUUS,Jacob,DEN,4.8,7.633,,0,12.433
124,THORPE,Heath,AUS,5,7.333,,0.1,12.433
286,SPONEVIK,Sebastian,NOR,4.4,7.966,,0,12.366
191,KARSIKAS,Akseli,FIN,4.6,7.766,,0,12.366
208,DUNKEL,Nils,GER,4.5,7.833,,0,12.333
