BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
161,ZOU,Jingyuan,CHN,6,9.366,,0.1,15.466
250,OKA,Shinnosuke,JPN,5.6,8.933,,,14.533
251,TSUNOGAI,Tomoharu,JPN,5.7,8.8,,,14.5
159,SHI,Cong,CHN,5.8,8.6,,,14.4
164,BARAJAS,Angel,COL,5.9,8.4,,,14.3
348,WHITTENBURG,Donnell,USA,5.8,8.4,,0.1,14.3
160,ZHANG,Boheng,CHN,5.6,8.666,,,14.266
246,HASHIMOTO,Daiki,JPN,5.6,8.666,,,14.266
104,POLIASHOV,Vladislav,AIN,5.4,8.733,,0.1,14.233
103,MARINOV,Daniel,AIN,5.7,8.5,,,14.2
331,ARICAN,Ferhat,TUR,5.9,8.266,,,14.166
218,MESZAROS,Krisztofer,HUN,5.5,8.6,,,14.1
319,SEIFERT,Noe,SUI,5.7,8.366,,,14.066
123,MOORE,Jesse,AUS,5.1,8.733,,,13.833
189,PLATA,Joel,ESP,5.2,8.5,,0.1,13.8
167,ZABALA,Yan,COL,5.7,8.1,,0,13.8
317,LANGENEGGER,Florian,SUI,5.2,8.466,,0.1,13.766
198,CARVALHO,Kevin,FRA,5.4,8.366,,0,13.766
261,RYU,Sunghyun,KOR,5.4,8.233,,0.1,13.733
139,SOUZA,Caio,BRA,5.3,8.4,,0,13.7
282,GRUENBERG,Jermain,NED,5.7,7.966,,0,13.666
346,MALONE,Brody,USA,5.1,8.533,,0,13.633
146,DOLCI,Felix,CAN,5.3,8.3,,0,13.6
354,DINH,Phuong Thanh,VIE,5.3,8.3,,0,13.6
349,ABDURAKHIMOV,Rasuljon,UZB,5.4,8.2,,0,13.6
201,MANSARD,Anthony,FRA,5.1,8.366,,0.1,13.566
186,DIALLO,Thierno,ESP,5.5,8.066,,0,13.566
273,NUNEZ,Isaac,MEX,5.4,8.1,,0,13.5
141,IVANOV,David,BUL,5.3,8.1,,0.1,13.5
145,COURNOYER,Rene,CAN,5.4,8,,0.1,13.5
287,WIBYE,Harald,NOR,5.1,8.366,,0,13.466
313,VEFIC,Petar,SRB,5.1,8.2,,0.1,13.4
138,SOARES,Diogo,BRA,5.2,8.166,,0,13.366
339,HRYKO,Vladyslav,UKR,4.8,8.533,,0,13.333
192,KIRMES,Robert,FIN,4.9,8.333,,0.1,13.333
188,MIR,Nicolau,ESP,5.6,7.7,,0,13.3
252,AZIZOV,Ilyas,KAZ,4.8,8.466,,0,13.266
340,PRUDKO,Dmytro,UKR,4.9,8.266,,0.1,13.266
256,PATANIN,Dmitriy,KAZ,5,8.2,,0,13.2
209,EDER,Timo,GER,4.9,8.2,,0,13.1
286,SPONEVIK,Sebastian,NOR,4.7,8.366,,0,13.066
335,KILICER,Mert Efe,TUR,4.5,8.733,-0.3,0.1,13.033
283,SCHMIDT,Casimir,NED,4.8,8.233,,0,13.033
199,DESANGES,Lucas,FRA,5,8.033,,0,13.033
210,EICHHORN,Gabriel,GER,4.9,8.1,,0,13
341,SHVED,Sviatoslav,UKR,5.1,7.866,,0,12.966
208,DUNKEL,Nils,GER,5.5,7.466,,0,12.966
323,HUNG,Yuan-Hsi,TPE,5.3,7.5,,0,12.8
274,ROJAS,Mario,MEX,4.6,8.033,,0,12.633
127,VETTER,Gino,AUT,4.3,8.233,,0,12.533
128,AHMADZADA,Rasul,AZE,4.7,7.833,,0,12.533
166,MARTINEZ MORENO,Andres,COL,4.4,8.1,,0,12.5
279,MUNCK,de Loran,NED,4.7,7.666,,0.1,12.466
193,KOSKI,Elias,FIN,5,7.466,,0,12.466
265,BRANDENBURGER,Quentin,LUX,4.7,7.733,,0,12.433
232,OLAFSSON,Dagur Kari,ISL,5.1,7.333,,0,12.433
268,NG,Chun Chen,MAS,4.2,8.066,,0.1,12.366
295,MORETO,Jesus,PER,4.2,8.133,,0,12.333
219,TOMCSANYI,Benedek,HUN,4.6,7.7,,0,12.3
150,ZAKUTNEY,Samuel,CAN,5.5,6.766,,0,12.266
154,LETELIER,Luciano,CHI,4.8,7.433,,0,12.233
110,ALIOUAT,Ahmed-Riadh,ALG,4.3,8.2,-0.3,0,12.2
112,COGAT,Adam,ALG,4.3,8.2,-0.3,0,12.2
220,ZAVORY,Szilard,HUN,4.2,7.966,,0,12.166
352,TREJO BASALO,Adickxon Gabriel,VEN,4.2,7.866,,0,12.066
318,PFYL,Marco,SUI,4.6,7.433,,0,12.033
173,ESCOBAR,Diorges,CUB,4.8,7.233,,0,12.033
183,MOHAMED,Omar,EGY,4.7,7.3,,0,12
125,MIGGITSCH,Martin,AUT,3.9,8.066,,0,11.966
121,HARDY,James,AUS,4,7.966,,0,11.966
270,DIAZ,Jose,MEX,3.7,8.233,,0,11.933
133,MARTINEZ,Victor,BEL,4.8,7.133,,0,11.933
214,TANTALIDIS,Antonios,GRE,3.2,8.6,,0.1,11.9
135,GUIMARAES,Vitaliy,BRA,4.2,7.633,,0,11.833
241,DOAN,Dorian,JAM,4.3,7.533,,0,11.833
226,DAS,Tapeswaranath,IND,3.8,8,,0,11.8
320,SUNDELL,William,SWE,3.2,8.533,,0,11.733
231,DAVIDSSON,Agust Ingi,ISL,4.6,7.033,,0.1,11.733
245,NAGHOUJ,Saleem,JOR,4.2,7.466,,0,11.666
225,YUDHA,Tri Wira,INA,4.8,6.866,,0,11.666
191,KARSIKAS,Akseli,FIN,4.5,7.1,,0,11.6
262,SEO,Jungwon,KOR,3.1,8.466,,0,11.566
126,SCHMOELZER,Paul,AUT,3.4,8.166,,0,11.566
177,BAGO,Daniel,CZE,4.4,7.166,,0,11.566
243,WAHRMANN-BAKER,Elel,JAM,3.5,8,,0,11.5
233,REINHARDSSON,Valgard,ISL,4.6,6.766,,0,11.366
106,TSIASELSKI,Aleh,AIN,4.9,6.433,,0,11.333
291,KOUDINOV,Mikhail,NZL,4,7.3,,0,11.3
122,MASON STEPHENS,Clay,AUS,4.5,6.8,,0,11.3
333,DOGAN,Altan,TUR,5,6.266,,0,11.266
330,GANNES,de Anthony,TTO,2.7,8.533,,0,11.233
329,ALI,Jameel,TTO,2.9,8.333,,0,11.233
294,ALARCON,Daniel,PER,3.9,7.333,,0,11.233
207,YOLSHIN-CASH,Alexander,GBR,4.6,6.633,,0,11.233
131,CUYLE,Glen,BEL,5,6.233,,0,11.233
229,SHARMA,Shayan,IND,4.2,7.3,-0.3,0,11.2
215,TSOLAKIDIS,Stefanos,GRE,4.9,6.266,,0,11.166
296,BESANA,Juancho Miguel,PHI,4.4,6.733,,0,11.133
202,FRASER,Joe,GBR,5.1,5.933,,0,11.033
292,STODDART,Daniel,NZL,4.1,6.9,,0,11
205,TULLOCH,Courtney,GBR,4.4,6.466,,0,10.866
351,ANTON,Yefferson,VEN,3.8,7.033,,0,10.833
269,ZULFA,Luqman Al Hafiz,MAS,4,7.033,-0.3,0,10.733
221,ABIYURAFI,,INA,4.1,6.633,,0,10.733
212,GRAIKOS,Alkinoos Nikolaos,GRE,3,7.7,,0,10.7
315,NAWARATHNA,Thenuka Bandara,SRI,2.6,7.833,,0,10.433
151,ADAPA,Karthik,CAY,3.3,7.1,,0,10.4
314,AMBUL DENIYAGE DON,Nadila Nethviru,SRI,4.2,6,,0,10.2
163,SODEA,Ruben,CMR,2.1,7.933,,0,10.033
240,BELL,Clayton,JAM,3.8,5.9,,0,9.7
144,TRIFONOV,Daniel,BUL,3.9,5.666,,0,9.566
111,BELLAOUI,Bilal,ALG,3.5,5.966,-0.3,0,9.166
285,SKOGVANG,Peder,NOR,3,5.533,,0,8.533
162,NGORBO,Ledoux,CMR,2.3,6.133,,0,8.433
293,BROSZIO,Pablo,PAN,2.9,5.5,,0,8.4
278,KOOPER,Immanuel,NAM,1.9,5.1,,0,7
