BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
255,KURBANOV,Nariman,KAZ,6,8.7,,,14.7
156,HONG,Yanming,CHN,5.6,9,,,14.6
345,HOOPES,Patrick,USA,6,8.566,,,14.566
119,MANUKYAN,Hamlet,ARM,5.6,8.9,,,14.5
148,LI,Aidan,CAN,5.6,8.8,,,14.4
118,KHACHATRYAN,Mamikon,ARM,5.8,8.6,,,14.4
207,YOLSHIN-CASH,Alexander,GBR,5.8,8.533,,,14.333
253,IDRISSOV,Zeinolla,KAZ,5.7,8.6,,,14.3
239,TARGHETTA,Gabriele,ITA,6,8.266,,,14.266
312,RAKOVIC,Gregor,SLO,5.5,8.733,,,14.233
246,HASHIMOTO,Daiki,JPN,5.7,8.433,,,14.133
174,GEORGIOU,Marios,CYP,5.5,8.6,,,14.1
109,PETROV,Matvei,ALB,5.6,8.5,,,14.1
141,IVANOV,David,BUL,5.8,8.3,,,14.1
324,LEE,Chih-Kai,TPE,5.6,8.466,,,14.066
331,ARICAN,Ferhat,TUR,5.6,8.433,,,14.033
319,SEIFERT,Noe,SUI,5.6,8.4,,,14
258,HUR,Woong,KOR,5.7,8.3,,,14
281,FAVERUS,Elijah,NED,5.7,8.266,,,13.966
204,JARMAN,Jake,GBR,5.4,8.5,,,13.9
343,DANG,Brandon,USA,5.7,8.2,,,13.9
303,GUILBE MORALES,Nelson Alberto,PUR,5.4,8.466,,,13.866
257,TOISHYBEK,Diyas,KAZ,5.6,8.2,,,13.8
325,SHIAO,Yu-Jan,TPE,5.5,8.233,,,13.733
316,GIUBELLINI,Luca,SUI,5.3,8.4,,,13.7
149,RAMPERSAD,Jayson,CAN,5.4,8.233,,,13.633
306,RAKAN,Al-Harith,QAT,5,8.6,,,13.6
234,ABBADINI,Yumin,ITA,5.3,8.266,,,13.566
236,ROSA,de Edoardo,ITA,5.4,8.166,,,13.566
232,OLAFSSON,Dagur Kari,ISL,5,8.466,,,13.466
159,SHI,Cong,CHN,5.1,8.266,,,13.366
103,MARINOV,Daniel,AIN,5,8.333,,,13.333
189,PLATA,Joel,ESP,5,8.3,,,13.3
214,TANTALIDIS,Antonios,GRE,5,8.266,,,13.266
160,ZHANG,Boheng,CHN,5,8.233,,,13.233
317,LANGENEGGER,Florian,SUI,5.2,8.033,,,13.233
264,MICKEVICS,Dmitrijs,LAT,5.3,7.933,,,13.233
261,RYU,Sunghyun,KOR,5,8.2,,,13.2
250,OKA,Shinnosuke,JPN,5,8.133,,,13.133
135,GUIMARAES,Vitaliy,BRA,5.2,7.933,,,13.133
138,SOARES,Diogo,BRA,5.2,7.933,,,13.133
186,DIALLO,Thierno,ESP,5.1,8,,,13.1
193,KOSKI,Elias,FIN,4.5,8.433,,,12.933
275,DAMDINDORJ,Enkhtuvshin,MGL,5,7.933,,,12.933
184,WAKID,Abdelrahman,EGY,5.1,7.833,,,12.933
192,KIRMES,Robert,FIN,5.2,7.6,,,12.8
199,DESANGES,Lucas,FRA,4.7,8.066,,,12.766
353,DANG,Ngoc Xuan Thien,VIE,5.9,6.8,,,12.7
191,KARSIKAS,Akseli,FIN,4.4,8.2,,,12.6
212,GRAIKOS,Alkinoos Nikolaos,GRE,5.4,7.2,,,12.6
164,BARAJAS,Angel,COL,4.8,7.766,,,12.566
143,PENEV,Kevin,BUL,5,7.566,,,12.566
172,ZUGEC,Mateo,CRO,5,7.533,,,12.533
104,POLIASHOV,Vladislav,AIN,5,7.5,,,12.5
201,MANSARD,Anthony,FRA,4.4,8.033,,,12.433
208,DUNKEL,Nils,GER,5.8,6.633,,,12.433
123,MOORE,Jesse,AUS,5.4,7,,,12.4
287,WIBYE,Harald,NOR,4.3,8,,,12.3
270,DIAZ,Jose,MEX,4.3,7.933,,,12.233
134,AA,van der Kilan,BEL,4.9,7.333,,,12.233
218,MESZAROS,Krisztofer,HUN,5.2,7.033,,,12.233
285,SKOGVANG,Peder,NOR,4.2,7.966,,,12.166
209,EDER,Timo,GER,4.7,7.466,,,12.166
241,DOAN,Dorian,JAM,4.4,7.733,,,12.133
351,ANTON,Yefferson,VEN,4.5,7.633,,,12.133
244,ABU AL SOUD,Ahmad,JOR,5.8,6.333,,,12.133
126,SCHMOELZER,Paul,AUT,4.3,7.7,,,12
227,JAYAN SANDHYA,Harikrishnan,IND,5.5,6.5,,,12
121,HARDY,James,AUS,4.1,7.833,,,11.933
314,AMBUL DENIYAGE DON,Nadila Nethviru,SRI,5.7,6.233,,,11.933
185,BAIGORRI,Unai,ESP,5.5,6.366,,,11.866
265,BRANDENBURGER,Quentin,LUX,3.9,7.933,,,11.833
320,SUNDELL,William,SWE,4.6,7.233,,,11.833
166,MARTINEZ MORENO,Andres,COL,4.4,7.4,,,11.8
219,TOMCSANYI,Benedek,HUN,5,6.8,,,11.8
302,MARQUES,Marcelo,POR,5.1,6.6,,,11.7
339,HRYKO,Vladyslav,UKR,5.2,6.5,,,11.7
283,SCHMIDT,Casimir,NED,5.4,6.266,,,11.666
279,MUNCK,de Loran,NED,5.7,5.966,,,11.666
295,MORETO,Jesus,PER,3.8,7.833,,,11.633
309,PUA,Asher,SGP,4.8,6.733,,,11.533
133,MARTINEZ,Victor,BEL,4.5,7,,,11.5
247,ISHIZAWA,Hiroto,JPN,5.1,6.4,,,11.5
301,LECHAUD,Luis,POR,4.3,7.166,,,11.466
183,MOHAMED,Omar,EGY,4.4,7.066,,,11.466
173,ESCOBAR,Diorges,CUB,4.8,6.666,,,11.466
274,ROJAS,Mario,MEX,3.9,7.5,,,11.4
243,WAHRMANN-BAKER,Elel,JAM,5.1,6.066,,,11.166
