BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
158,LAN,Xingyu,CHN,5.9,8.866,,,14.766
348,WHITTENBURG,Donnell,USA,6,8.7,,,14.7
160,ZHANG,Boheng,CHN,5.5,9.1,,,14.6
332,ASIL,Adem,TUR,5.7,8.766,,,14.466
213,PETROUNIAS,Eleftherios,GRE,5.7,8.666,,,14.366
203,HEPWORTH,Harry,GBR,5.8,8.566,,,14.366
131,CUYLE,Glen,BEL,5.8,8.533,,,14.333
139,SOUZA,Caio,BRA,5.7,8.533,,0.1,14.333
205,TULLOCH,Courtney,GBR,5.8,8.466,,,14.266
248,KANETA,Kiichi,JPN,5.5,8.7,,,14.2
115,AVETISYAN,Artur,ARM,5.6,8.6,,,14.2
108,ZAIKA,Ilia,AIN,5.7,8.4,,,14.1
159,SHI,Cong,CHN,5.4,8.3,,0.1,13.8
346,MALONE,Brody,USA,5.4,8.366,,0,13.766
196,AIT SAID,Samir,FRA,5.3,8.4,,0,13.7
356,NGUYEN,van Khanh Phong,VIE,5.6,8,,0,13.6
250,OKA,Shinnosuke,JPN,5.3,8.266,,0,13.566
336,KOSAK,Mehmet Ayberk,TUR,5.5,7.966,,0.1,13.566
117,DAVTYAN,Vahagn,ARM,5.2,8.3,,0,13.5
246,HASHIMOTO,Daiki,JPN,5.2,8.233,,0,13.433
183,MOHAMED,Omar,EGY,5.2,8.133,,0.1,13.433
283,SCHMIDT,Casimir,NED,5,8.366,,0,13.366
129,SIMONOV,Nikita,AZE,5.4,7.866,,0.1,13.366
181,ABDELKADER,Ali,EGY,5.1,8.066,,0.1,13.266
319,SEIFERT,Noe,SUI,4.2,8.9,,0.1,13.2
262,SEO,Jungwon,KOR,5.5,7.666,,0,13.166
192,KIRMES,Robert,FIN,4.9,8.133,,0,13.033
342,SUPRUN,Bohdan,UKR,5.1,7.833,,0.1,13.033
147,EMARD,William,CAN,5.7,7.266,,0,12.966
218,MESZAROS,Krisztofer,HUN,4.3,8.6,,0,12.9
164,BARAJAS,Angel,COL,5,7.766,,0.1,12.866
146,DOLCI,Felix,CAN,5.2,7.666,,0,12.866
176,PILAKOURIS,Sokratis,CYP,5.7,7.166,,0,12.866
189,PLATA,Joel,ESP,4.6,8.233,,0,12.833
191,KARSIKAS,Akseli,FIN,4.8,8.033,,0,12.833
281,FAVERUS,Elijah,NED,4.9,7.9,,0,12.8
328,WANG,Yi-Hsiang,TPE,5.2,7.566,,0,12.766
219,TOMCSANYI,Benedek,HUN,4.8,7.933,,0,12.733
305,VELEZ BELENDEZ,Francisco Ismael,PUR,5.4,7.333,,0,12.733
310,BOJANC,Luka,SLO,5,7.7,,0,12.7
261,RYU,Sunghyun,KOR,4.2,8.4,,0,12.6
284,GADDERUD,Theodor,NOR,4.2,8.4,,0,12.6
286,SPONEVIK,Sebastian,NOR,5,7.6,,0,12.6
186,DIALLO,Thierno,ESP,4.4,8.166,,0,12.566
209,EDER,Timo,GER,4.5,8,,0,12.5
208,DUNKEL,Nils,GER,4.9,7.6,,0,12.5
145,COURNOYER,Rene,CAN,5.2,7.3,,0,12.5
103,MARINOV,Daniel,AIN,3.1,9.266,,0.1,12.466
231,DAVIDSSON,Agust Ingi,ISL,4.3,8.066,,0.1,12.466
211,SAHAKYAN,Artur,GER,5.4,7.066,,0,12.466
138,SOARES,Diogo,BRA,4.2,8.2,,0,12.4
317,LANGENEGGER,Florian,SUI,3.7,8.666,,0,12.366
339,HRYKO,Vladyslav,UKR,4.9,7.433,,0,12.333
285,SKOGVANG,Peder,NOR,3.7,8.566,,0,12.266
133,MARTINEZ,Victor,BEL,4.7,7.566,,0,12.266
123,MOORE,Jesse,AUS,4.2,8.033,,0,12.233
201,MANSARD,Anthony,FRA,4.2,8,,0,12.2
298,LEON,de Justine Ace,PHI,4.1,8,,0.1,12.2
243,WAHRMANN-BAKER,Elel,JAM,3.8,8.333,,0,12.133
187,KOVACS,Sergio David,ESP,4.1,8,,0,12.1
121,HARDY,James,AUS,4,8.033,,0,12.033
274,ROJAS,Mario,MEX,3.8,8.033,,0.1,11.933
340,PRUDKO,Dmytro,UKR,4.9,7,,0,11.9
217,KISS,Balazs,HUN,4,7.866,,0,11.866
114,SEMMANI,Youcef,ALG,4.5,7.333,,0,11.833
113,HAMADOUCHE,Houssem Eddine,ALG,3.9,7.833,,0,11.733
214,TANTALIDIS,Antonios,GRE,3.3,8.4,,0,11.7
329,ALI,Jameel,TTO,4.5,7.166,,0,11.666
233,REINHARDSSON,Valgard,ISL,3.6,8.033,,0,11.633
256,PATANIN,Dmitriy,KAZ,4.8,6.833,,0,11.633
177,BAGO,Daniel,CZE,3,8.6,,0,11.6
126,SCHMOELZER,Paul,AUT,3.7,7.866,,0,11.566
240,BELL,Clayton,JAM,3.2,8.166,,0.1,11.466
241,DOAN,Dorian,JAM,3.9,7.566,,0,11.466
232,OLAFSSON,Dagur Kari,ISL,3.5,7.933,,0,11.433
293,BROSZIO,Pablo,PAN,4.3,7.1,,0,11.4
304,PEREZ MARTINEZ,Pablo Jose,PUR,5.1,6.3,,0,11.4
112,COGAT,Adam,ALG,3.3,8.066,,0,11.366
245,NAGHOUJ,Saleem,JOR,3.6,7.733,,0,11.333
292,STODDART,Daniel,NZL,3.1,8.166,,0,11.266
193,KOSKI,Elias,FIN,4.4,6.833,,0,11.233
335,KILICER,Mert Efe,TUR,3.6,7.6,,0,11.2
128,AHMADZADA,Rasul,AZE,3.2,7.9,,0,11.1
212,GRAIKOS,Alkinoos Nikolaos,GRE,2.8,8.166,,0.1,11.066
265,BRANDENBURGER,Quentin,LUX,4.3,6.7,,0,11
127,VETTER,Gino,AUT,3.9,7.033,,0,10.933
300,ALMEIDA,Filipe,POR,3.3,7.9,-0.3,0,10.9
106,TSIASELSKI,Aleh,AIN,3.8,7,,0,10.8
294,ALARCON,Daniel,PER,4.6,6.2,,0,10.8
295,MORETO,Jesus,PER,2.9,7.766,,0,10.666
296,BESANA,Juancho Miguel,PHI,3.6,7.066,,0,10.666
155,VARAS,Ignacio,CHI,3.8,7.133,-0.3,0,10.633
270,DIAZ,Jose,MEX,2.5,7.766,,0.1,10.366
166,MARTINEZ MORENO,Andres,COL,2.7,7.4,,0,10.1
125,MIGGITSCH,Martin,AUT,3.3,6.066,,0,9.366
221,ABIYURAFI,,INA,3.4,5.966,,0,9.366
321,TARRAB,Abdullah,SYR,2.5,6.666,,0,9.166
315,NAWARATHNA,Thenuka Bandara,SRI,1.9,7.5,-0.3,0,9.1
314,AMBUL DENIYAGE DON,Nadila Nethviru,SRI,2.5,6.5,-0.3,0,8.7
330,GANNES,de Anthony,TTO,2.4,5.9,-0.3,0,8
278,KOOPER,Immanuel,NAM,1.8,6.3,-0.3,0,7.8
269,ZULFA,Luqman Al Hafiz,MAS,2.9,6.966,-3,0,6.866
