BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
299,YULO,Carlos Edriel,PHI,5.6,9.3,,,14.9
157,HUANG,Mingqi,CHN,5.2,9.533,,0.1,14.833
246,HASHIMOTO,Daiki,JPN,5.2,9.333,,,14.533
116,DAVTYAN,Artur,ARM,5.2,9.233,,,14.433
103,MARINOV,Daniel,AIN,5.2,9.2,,,14.4
160,ZHANG,Boheng,CHN,5.2,9.133,,,14.333
235,BRUGNAMI,Tommaso,ITA,5.2,9.166,-0.1,,14.266
165,LARRAHONDO,Juan,COL,5.2,9.033,,,14.233
337,CHEPURNYI,Nazar,UKR,5.2,9.033,,,14.233
249,MINAMI,Kazuki,JPN,4.8,9.4,-0.1,0.1,14.2
286,SPONEVIK,Sebastian,NOR,5.2,9,,,14.2
179,KALNY,Ondrej,CZE,5.2,9.066,-0.1,,14.166
216,NG,Ka Ki,HKG,5.2,8.933,,,14.133
214,TANTALIDIS,Antonios,GRE,4.8,9.233,,,14.033
209,EDER,Timo,GER,4.8,9.133,,0.1,14.033
127,VETTER,Gino,AUT,4.8,9.2,,,14
187,KOVACS,Sergio David,ESP,4.8,9.2,,,14
221,ABIYURAFI,,INA,4.8,9.166,,,13.966
143,PENEV,Kevin,BUL,5,8.966,,,13.966
250,OKA,Shinnosuke,JPN,4.8,9.133,,,13.933
317,LANGENEGGER,Florian,SUI,4.8,9.133,,,13.933
316,GIUBELLINI,Luca,SUI,5.2,8.833,-0.1,,13.933
191,KARSIKAS,Akseli,FIN,4.8,9.1,,,13.9
307,JAMES,Luke,RSA,4.8,9.1,,,13.9
268,NG,Chun Chen,MAS,5.2,8.766,-0.1,,13.866
123,MOORE,Jesse,AUS,4.4,9.333,,0.1,13.833
322,SURINTORNTA,Tikumporn,THA,4.8,9.033,,,13.833
105,SHARAMKOU,Yahor,AIN,5.2,8.6,,,13.8
126,SCHMOELZER,Paul,AUT,4.8,8.966,,,13.766
128,AHMADZADA,Rasul,AZE,4.4,9.233,,0.1,13.733
321,TARRAB,Abdullah,SYR,4.8,8.933,,,13.733
297,CRUZ,John Ivan,PHI,5.2,8.633,-0.1,,13.733
121,HARDY,James,AUS,4.8,8.9,,,13.7
152,ARMIJO,Josue,CHI,4.8,8.966,-0.1,,13.666
241,DOAN,Dorian,JAM,4.8,8.966,-0.1,,13.666
283,SCHMIDT,Casimir,NED,5.2,8.566,-0.1,,13.666
284,GADDERUD,Theodor,NOR,4.8,8.933,-0.1,,13.633
201,MANSARD,Anthony,FRA,4.8,8.833,,,13.633
334,KARTIN,Emirhan,TUR,4.8,8.833,,,13.633
319,SEIFERT,Noe,SUI,4.4,9.2,,,13.6
195,REIMAN,Joona,FIN,4.8,8.9,-0.1,,13.6
267,AIMY,Muhammad Sharul,MAS,4.8,8.8,,,13.6
164,BARAJAS,Angel,COL,4.8,9.066,-0.3,,13.566
101,IAKUBOV,Mukhammadzhon,AIN,5.2,8.666,-0.3,,13.566
133,MARTINEZ,Victor,BEL,4.8,9,-0.3,,13.5
146,DOLCI,Felix,CAN,4.8,9,-0.3,,13.5
186,DIALLO,Thierno,ESP,4.8,8.8,-0.1,,13.5
259,LEE,Junho,KOR,4.8,8.8,-0.1,,13.5
204,JARMAN,Jake,GBR,5.6,8.2,-0.3,,13.5
